3,Andorra la Vella,Andorra la Vella,Andorra
4,Umm al Qaywayn,Umm al Qaywayn,United Arab Emirates
5,Ras al-Khaimah,Raʼs al Khaymah,United Arab Emirates
6,Khawr Fakkān,Ash Shāriqah,United Arab Emirates
7,Dubai,Dubai,United Arab Emirates
8,Dibba Al-Fujairah,Al Fujayrah,United Arab Emirates
9,Dibba Al-Hisn,Al Fujayrah,United Arab Emirates
10,Sharjah,Ash Shāriqah,United Arab Emirates
11,Ar Ruways,Abu Dhabi,United Arab Emirates
12,Al Fujayrah,Al Fujayrah,United Arab Emirates
13,Al Ain,Abu Dhabi,United Arab Emirates
14,Ajman,Ajman,United Arab Emirates
15,Adh Dhayd,Ash Shāriqah,United Arab Emirates
16,Abu Dhabi,Abu Dhabi,United Arab Emirates
17,Zaranj,Nīmrūz,Afghanistan
18,Taloqan,Takhār,Afghanistan
19,Shīnḏanḏ,Herat,Afghanistan
20,Shibirghān,Jowzjān,Afghanistan
21,Shahrak,Ghowr,Afghanistan
22,Sar-e Pul,Sar-e Pol,Afghanistan
23,Sang-e Chārak,Sar-e Pol,Afghanistan
24,Aībak,Samangān,Afghanistan
25,Rustāq,Takhār,Afghanistan
26,Qarqīn,Jowzjān,Afghanistan
27,Qarāwul,Kunduz,Afghanistan
28,Pul-e Khumrī,Wilāyat-e Baghlān,Afghanistan
29,Paghmān,Kabul,Afghanistan
30,Nahrīn,Wilāyat-e Baghlān,Afghanistan
31,Maymana,Faryab,Afghanistan
32,Mehtar Lām,Laghmān,Afghanistan
33,Mazār-e Sharīf,Balkh,Afghanistan
34,Lashkar Gāh,Helmand,Afghanistan
35,Kushk,Herat,Afghanistan
36,Kunduz,Kunduz,Afghanistan
37,Khōst,Khowst,Afghanistan
38,Khulm,Balkh,Afghanistan
39,Khāsh,Nīmrūz,Afghanistan
40,Khanabad,Kunduz,Afghanistan
41,Karukh,Herat,Afghanistan
42,Kandahār,Kandahār,Afghanistan
43,Kabul,Kabul,Afghanistan
44,Jalālābād,Nangarhār,Afghanistan
45,Jabal os Saraj,Parvān,Afghanistan
46,Herāt,Herat,Afghanistan
47,Ghormach,Badghis,Afghanistan
48,Ghazni,Ghaznī,Afghanistan
49,Gereshk,Helmand,Afghanistan
50,Gardēz,Paktia,Afghanistan
51,Fayzabad,Badakhshan,Afghanistan
52,Farah,Farah,Afghanistan
53,Kafir Qala,Herat,Afghanistan
54,Charikar,Parvān,Afghanistan
55,Barakī Barak,Lowgar,Afghanistan
56,Bāmyān,Bāmīān,Afghanistan
57,Balkh,Balkh,Afghanistan
58,Baghlān,Wilāyat-e Baghlān,Afghanistan
59,Ārt Khwājah,Takhār,Afghanistan
60,Āsmār,Konar,Afghanistan
61,Asadābād,Konar,Afghanistan
62,Andkhōy,Faryab,Afghanistan
63,Bāzārak,Panjshir,Afghanistan
64,Markaz-e Woluswalī-ye Āchīn,Nangarhār,Afghanistan
65,Saint John’s,Saint John,Antigua and Barbuda
66,The Valley,N/A,Anguilla
67,Sarandë,Vlorë,Albania
68,Kukës,Kukës,Albania
69,Korçë,Korçë,Albania
70,Gjirokastër,Gjirokastër,Albania
71,Elbasan,Elbasan,Albania
72,Burrel,Dibër,Albania
73,Vlorë,Vlorë,Albania
74,Tirana,Tiranë,Albania
75,Shkodër,Shkodër,Albania
76,Patos Fshat,Fier,Albania
77,Lushnjë,Fier,Albania
78,Lezhë,Lezhë,Albania
79,Laç,Lezhë,Albania
80,Kuçovë,Berat,Albania
81,Krujë,Durrës,Albania
82,Kavajë,Tiranë,Albania
83,Fier-Çifçi,Fier,Albania
84,Fier,Fier,Albania
85,Durrës,Durrës,Albania
86,Berat,Berat,Albania
87,Kapan,Syunik Province,Armenia
88,Goris,Syunik Province,Armenia
89,Hats’avan,Syunik Province,Armenia
90,Artashat,Ararat Province,Armenia
91,Ararat,Ararat Province,Armenia
92,Yerevan,Yerevan,Armenia
93,Ejmiatsin,Armavir Province,Armenia
94,Spitak,Lori Province,Armenia
95,Sevan,Gegharkunik Province,Armenia
96,Masis,Ararat Province,Armenia
97,Vanadzor,Lori Province,Armenia
98,Gavarr,Gegharkunik Province,Armenia
99,Hrazdan,Kotayk Province,Armenia
100,Armavir,Armavir Province,Armenia
101,Gyumri,Shirak Province,Armenia
102,Ashtarak,Aragatsotn Province,Armenia
103,Abovyan,Kotayk Province,Armenia
104,Saurimo,Lunda Sul,Angola
105,Lucapa,Lunda Norte,Angola
106,Luau,Moxico,Angola
107,Uíge,Uíge,Angola
108,Soio,Zaire,Angola
109,Nzeto,Zaire,Angola
110,N’dalatando,Cuanza Norte,Angola
111,Mbanza Congo,Zaire,Angola
112,Malanje,Malanje,Angola
113,Luanda,Luanda,Angola
114,Caxito,Bengo,Angola
115,Cabinda,Cabinda,Angola
116,Sumbe,Cuanza Sul,Angola
117,Namibe,Namibe,Angola
118,Menongue,Cuando Cubango,Angola
119,Luena,Moxico,Angola
120,Lubango,Huíla,Angola
121,Longonjo,Huambo,Angola
122,Lobito,Benguela,Angola
123,Cuito,Bié,Angola
124,Huambo,Huambo,Angola
125,Catumbela,Benguela,Angola
126,Catabola,Bié,Angola
127,Camacupa,Bié,Angola
128,Caluquembe,Huíla,Angola
129,Caála,Huambo,Angola
130,Benguela,Benguela,Angola
131,Zárate,Buenos Aires,Argentina
132,Villa Ocampo,Santa Fe,Argentina
133,Villa Lugano,Buenos Aires F.D.,Argentina
134,Villaguay,Entre Rios,Argentina
135,Villa Gesell,Buenos Aires,Argentina
136,Tigre,Buenos Aires,Argentina
137,Tandil,Buenos Aires,Argentina
138,San Vicente,Misiones,Argentina
139,Santo Tomé,Corrientes,Argentina
140,Santa Elena,Entre Rios,Argentina
141,San Pedro,Misiones,Argentina
142,San Luis del Palmar,Corrientes,Argentina
143,San Lorenzo,Corrientes,Argentina
144,San Javier,Santa Fe,Argentina
145,San Isidro,Buenos Aires,Argentina
146,Saladas,Corrientes,Argentina
147,Retiro,Buenos Aires F.D.,Argentina
148,Resistencia,Chaco,Argentina
149,Reconquista,Santa Fe,Argentina
150,Quilmes,Buenos Aires,Argentina
151,Puerto Rico,Misiones,Argentina
152,Puerto Iguazú,Misiones,Argentina
153,Puerto Esperanza,Misiones,Argentina
154,Puerto Eldorado,Misiones,Argentina
155,Posadas,Misiones,Argentina
156,Pontevedra,Buenos Aires,Argentina
157,Pirané,Formosa,Argentina
158,Paso de los Libres,Corrientes,Argentina
159,Oberá,Misiones,Argentina
160,Necochea,Buenos Aires,Argentina
161,Morón,Buenos Aires,Argentina
